nct_id,title,phase,condition,endpoint_1,endpoint_2,endpoint_3
NCT00429286,Preserving Function in Breast Cancer Patients,,Breast Cancer,"measures will be acceptance rates for enrollment in the study, retention rates across both intervention arms, and satisfaction levels with the PST intervention",of this R03 small grant application are to:1) Test the feasibility of enrolling and retaining newly diagnosed breast cancer patients in a clinical trial to assess telephone-based PST,telephone-based PST
NCT06800586,Tumors and Respiratory System Diseases Due to Air Pollution: New Biomarkers of Exposure and Effects,,COPD,"to examine the exposure to atmospheric pollutants in a group of non-smoking patients suffering from lung cancer, chronic obstructive pulmonary disease (COPD), and leukemia",,
NCT02416570,Is Clarithromycin a Potential Treatment for Cachexia in People With Lung Cancer?,PHASE2,Cachexia,to identify if clarithromycin (CLM) has potential as a widely available and inexpensive treatment for cachexia (the loss of muscle mass) in people with non-small cell lung cancer (NSCLC),,
NCT00807170,Investigate the Maximum Tolerated Dose of Vandetanib and Concurrent Whole Brain Radiotherapy (WBRT) in Patients With Non-small Cell Lung Cancer (NSCLC) and Brain Metastases,PHASE1,Non-small Cell Lung Cancer (NSCLC),,,
NCT03021486,"Haloperidol With or Without Chlorpromazine in Treating Delirium in Patients With Advanced, Metastatic, or Recurrent Cancer",PHASE2,Advanced Malignant Neoplasm,,,
NCT02917369,Integrative Analysis of Large-cell Lung Cancer,,Lung Cancer,,,
NCT06519669,Autologous Tumor-Infiltrating Lymphocyte Injection(GT201) for Treatment of Patients with Advanced Lung Cancer,NA,Adult,"ed at evaluating the safety and tolerability of Autologous Tumor-Infiltrating Lymphocyte (GT201 injection ) for treatment of patients with Advanced lung cancer,while evaluating pharmacokinetic characteristics and efficacy assessment",,
NCT06709469,"Phase I Clinical Trial of CART Cell Therapy for Refractory/Relapsed Acute Lymphoblastic Leukemia in Children, Adolescents and Young Adults",PHASE1,Precursor Cell Lymphoblastic Leukemia-Lymphoma,,,
NCT01284569,Study to Assess Safety and Efficacy of Anti-Interleukin 6-receptor (IL6R) Nanobody in Rheumatoid Arthritis (RA) Patients,PHASE1,Rheumatoid Arthritis,"whether the ALX-0061, a Nanobody targeting the receptor for interleukin 6 (IL6R), is safe and effective after single or multiple administrations to patients with rheumatoid arthritis (RA)",,
NCT02284269,Meta-analysis in Post-marketing Surveillances for SGLT2 Inhibitors in Patients With Type 2 Diabetes Mellitus,,"Diabetes Mellitus, Type 2",the safety and efficacy of long-term use of each under actual clinical practice conditions,long-term use of each under actual clinical practice conditions,
NCT00911183,Diffuse Large B Cell Non-Hodgkin's Lymphoma in the Vulnerable/Frail Elderly. A Multicentric Randomized Phase II Trial,PHASE2,Lymphoma,,,
NCT03421483,Assessing Colonic Folate Absorption & Metabolism,NA,Folate,of this study is to assess how folic acid supplementation influences colonic folate absorption and metabolism in humans,how folic acid supplementation influences colonic folate absorption and metabolism in humans,
NCT04456283,Survival of Patients With a Reduction in the Number of Lymph Nodes in Rectal Cancer After Neoadjuvant Chemoradiotherapy,,Cancer of Rectum,To analyze the survival of patients with a reduction in the number of resected LN in patients submitted to neoadjuvant and total excision of the mesorectum with rectal cancer,the difference in survival between patients with less than 12 LN in complete versus incomplete response,
NCT02976441,Autologous Stem Cell Collection and Reinfusion in Newly Diagnosed High Grade Gliomas,EARLY_PHASE1,Astrocytoma,,,
NCT06670105,A Phase 2 Trial of Glofitamab for Minimal Residual Disease in Patients With Large B-cell Lymphoma,PHASE2,B-cell Lymphoma,,,
NCT00556205,Bevacizumab With or Without Sunitinib in Sunitinib-Refractory Renal Cell Carcinoma,PHASE2,Renal Cell Carcinoma,,,
NCT00193505,Ifosfamide/Carboplatin/Etoposide/Rituxan Followed by Zevalin in Relapsed/Refractory Intermediate Grade B-Cell Lymphoma,PHASE2,Non-Hodgkins Lymphoma,treatment with 90Y Zevalin following a short course of salvage chemotherapy in patients with relapsed/refractory intermediate grade B-cell non-Hodgkin's lymphoma,,
NCT01427205,Phase II Study of Cetuximab With or Without OSI-906 in Head and Neck Squamous Cell Carcinoma (HNSCC),PHASE2,Head and Neck Cancer,Primary Objective(s): To assess progression-free survival (PFS) among patients with head and neck squamous cell carcinoma (HNSCC) treated with a combination of cetuximab plus OSI-906 and compare it with PFS among patients treated with cetuximab plus placebo,progression-free survival (PFS) among patients with head and neck squamous cell carcinoma (HNSCC) treated with a combination of cetuximab plus OSI-906 and compare it with PFS among patients treated with cetuximab plus placebo,
NCT05333705,Donor Immune Cell Therapy for Acute Myeloid Leukemia,PHASE1,Acute Myeloid Leukemia,to introduce a new technology of donor NK cell infusion,,
NCT03905941,Relative Desirability of Metformin vs. Birth Control Pill in Treating PCOS in Women of Later Reproductive Age,EARLY_PHASE1,Polycystic Ovary Syndrome,the relative desirability of metformin vs,,
NCT03245541,Radiation Therapy in Combination With Durvalumab for People With Pancreatic Cancer,PHASE1,Pancreatic Adenocarcinoma,,,
NCT06547541,Pilot - Resistance Exercise for Inpatient Treatment in T2D,PHASE1,"Diabetes Mellitus, Type 2",,,
NCT03109054,Endogenous Melatonin Level and Pre- Postoperative Anxiety in Bariatric Surgery Patients.,,Anxiety Disorders,of this study was to determine the relationship between endogenous melatonin levels and anxiety levels in patients with bariatric surgery,the relationship between endogenous melatonin levels and anxiety levels in patients with bariatric surgery,
NCT01525966,Carboplatin and Paclitaxel Albumin-Stabilized Nanoparticle Formulation Before Surgery in Treating Patients With Locally Advanced or Inflammatory Triple Negative Breast Cancer,PHASE2,Inflammatory Breast Cancer,,,
NCT04614766,A Clinical Trial Evaluating the Safety of Combining Lutathera(R) and Azedra(R) to Treat Mid-gut Neuroendocrine Tumors,PHASE1,Gastro-enteropancreatic Neuroendocrine Tumor,,,
NCT00126256,Trial Comparing Two Strategies of Chemotherapy for Metastatic Colorectal Cancer,PHASE3,Colorectal Cancer,"of this randomized trial is to evaluate the potential benefit of a bitherapy with 5-fluorouracil (5-FU) and oxaliplatin as first line chemotherapy compared with a sequential chemotherapy with 5-FU alone as first line chemotherapy followed by the combination of 5-FU with oxaliplatin in case of progressive disease, in terms of progression-free survival and overall survival in patients with advanced colorectal cancer","the potential benefit of a bitherapy with 5-fluorouracil (5-FU) and oxaliplatin as first line chemotherapy compared with a sequential chemotherapy with 5-FU alone as first line chemotherapy followed by the combination of 5-FU with oxaliplatin in case of progressive disease, in terms of progression-free survival and overall survival in patients with advanced colorectal cancer",
NCT05506956,Post-transplant Flotetuzumab for AML,PHASE1,"Leukemia, Myeloid, Acute","if the study drug, flotetuzumab, is safe and tolerable when given to participants with acute myeloid leukemia (AML) that has relapsed after transplant",,
NCT04937322,Radio Frequency Ablation in the Management of Pancreatico-biliary Disorders: A Multicenter Registry.,,Bile Duct Cancer,,,
NCT04216251,PRevention Using EPA Against coloREctal Cancer,PHASE1,Colorectal Adenoma,,,
NCT05002751,Quantifying Radiation Induced Vaginal Stenosis,,Vaginal Stricture,,,
NCT06664229,Development of Pressure Sensor Based Dementia and Fall Prevention Program for Older Adults,NA,"Dementia, Mild",the program to improve cognitive and physical functions of older adults via a pilot study and a main study with randomized control trial design,,
NCT05910229,Telephone Paramedical Support Prior to the Radiotherapy Simulation Scanner for Patients with Prostate Cancer,NA,Radiotherapy,the impact of a phone call before the simulation CT scan in management of care of patients with prostate cancer,,
NCT02465229,Comparison of Diagnostic Accuracy Before or After Stricture Dilation in Biliary Stricture,NA,Biliary Strictures,,,
NCT01588431,Bevacizumab/Ph 2 for Locally Advanced Head and Neck Cancer,PHASE2,"Carcinoma, Squamous Cell of Head and Neck",") and progression-free survival, overall survival and objective response rates of docetaxel, cisplatin, cetuximab, and bevacizumab (TPE-A) followed by radiation therapy, cisplatin, cetuximab, and bevacizumab (XPE-A)","to evaluate the rate of complete responses with induction therapy (primary endpoint) and progression-free survival, overall survival and objective response rates of docetaxel, cisplatin, cetuximab, and bevacizumab (TPE-A) followed by radiation therapy, cisplatin, cetuximab, and bevacizumab (XPE-A)","the rate of complete responses with induction therapy (primary endpoint) and progression-free survival, overall survival and objective response rates of docetaxel, cisplatin, cetuximab, and bevacizumab (TPE-A) followed by radiation therapy, cisplatin, cetuximab, and bevacizumab (XPE-A)"
NCT03612531,Manual Therapy in Treating Fibrosis-Related Late Effect Dysphagia in Head and Neck Cancer Survivors,NA,Cancer Survivor,,,
NCT03326102,Oral Paclitaxel Efficacy Safety and PK in Recurrent and Metastatic Breast Cancer,PHASE2,Recurrent or Metastatic Breast Cancer,"of this study is to evaluate the efficacy, safety and pharmacokinetics of DHP107 (Oral Paclitaxel, Korea brand name: Liporaxel®) compared to IV Paclitaxel in patients with Recurrent or Metastatic Breast Cancer","the efficacy, safety and pharmacokinetics of DHP107 (Oral Paclitaxel, Korea brand name: Liporaxel®) compared to IV Paclitaxel in patients with Recurrent or Metastatic Breast Cancer",
NCT02503202,Evaluation of the Safety and Immunogenicity of Three Consistency Lots and a High-Dose Lot of rVSV-ZEBOV-GP (V920 Ebola Vaccine) in Healthy Adults (V920-012),PHASE3,Prevention of Ebola Infection,,,
NCT02997202,A Trial of the FMS-like Tyrosine Kinase 3 (FLT3) Inhibitor Gilteritinib Administered as Maintenance Therapy Following Allogeneic Transplant for Patients With FLT3/Internal Tandem Duplication (ITD) Acute Myeloid Leukemia (AML),PHASE3,Acute Myeloid Leukemia,,,
NCT02448537,A Phase II Multi-Strata Study of PM01183 as a Single Agent or in Combination With Conventional Chemotherapy in Metastatic and/or Unresectable Sarcomas,PHASE2,Metastatic Sarcoma,,,
NCT06910124,Linvoseltamab in Addition to Lenalidomide (L2) During Maintenance Therapy of NDMM to Deepen Responses or Redrive MRD Negativity After Relapse,PHASE2,Multiple Myeloma,how long you remain MRD-,,
NCT00742924,Zoledronic Acid and Combination Chemotherapy in Treating Patients With Newly Diagnosed Metastatic Osteosarcoma,PHASE1,Sarcoma,,,
NCT05944224,A Study to Efficacy and Safety of SPH4336 Monotherapy or in Combination With Cadonilimab in Patients With Advanced Solid Tumors.,PHASE1,Advanced Solid Tumors,the efficacy and safety of SPH4336 monotherapy or in combination with Cadonilimab in the patients with selected advanced solid tumors,,
NCT06863324,Impact of Individual Radiosensitivity on Late Toxicities of Radiosurgery in Essential Trigeminal Neuralgia,NA,Trigeminal Neuralgia Treated by Radiosurgery,,,
NCT05759923,"First-in-human Phase I Study to Evaluate Safety, Tolerability and Antineoplastic Activity of OATD-02 in Patients with Selected Advanced And/or Metastatic Solid Tumours",PHASE1,Advanced Ovarian Carcinoma,,,
NCT00293423,GP96 Heat Shock Protein-Peptide Complex Vaccine in Treating Patients With Recurrent or Progressive Glioma,PHASE1,Brain and Central Nervous System Tumors,,,
NCT03306459,"Psychological Traits, Sexuality and Quality of Life in Patients With Polycystic Ovary Syndrome",,Polycystic Ovary Syndrome,,,
NCT00004259,Radiation Therapy Combined With Chemotherapy in Treating Patients With Anaplastic Astrocytoma or Mixed Gliomas,PHASE3,Brain and Central Nervous System Tumors,,,
NCT06930859,Non-interventional Study to Assess the Effectiveness and Safety of Ribociclib in the Adjuvant Therapy of Hormone Receptor Positive (HR+) HER2-negative Stage II and III Breast Cancer in Real Clinical Practice in Russia,,Breast Cancer,at evaluating the efficacy of adjuvant ribociclib in combination with hormone therapy (aromatase inhibitor ± GnRH aginost) in various subgroups of patients with HR+HER2- stage II-III breast cancer in real clinical practice in Russia,adjuvant ribociclib in combination with hormone therapy (aromatase inhibitor ± GnRH aginost) in various subgroups of patients with HR+HER2- stage II-III breast cancer in real clinical practice in Russia,
NCT01313780,A Study to Evaluate Efficacy and Safety of Oxycodone/Naloxone Compared to OxyContin in Korean Cancer Patients,PHASE4,Cancer,"Bowel Habit (worsening/no change/improving), Total dose and frequency of rescue medication, Quality of Life (QOL",,
NCT07144280,A Study to Learn About the Study Medicine Called PF-08046054/SGN-PDL1V Versus Docetaxel in Adult Participants With Previously-treated Programmed Cell Death Ligand 1 (PD-L1) Positive Non-Small-Cell Lung Cancer (NSCLC),PHASE3,Non-small Cell Carcinoma,,,
NCT02095379,Oligosecretary Myeloma: Prevalence and Its Clinical Significance,,Multiple Myeloma,to investigate the prevalence and clinical course of oligosecretary myeloma,,
NCT04235179,Adjuvant Stereotactic Pelvic Irradiation in Endometrial Cancer,PHASE2,Endometrial Cancer,,,
NCT05383079,Combination of Radium-223 and Lutetium-177 PSMA-I&T in Men with Metastatic Castration-Resistant Prostate Cancer,PHASE1,Metastatic Castration-resistant Prostate Cancer,,,
NCT04397679,"Partial Brain RT, Temozolomide, Chloroquine, and TTF Therapy for the Treatment of Newly Diagnosed Glioblastoma",PHASE1,Glioblastoma,"the safety of partial brain radiation therapy, temozolomide, chloroquine, and tumor treating fields therapy in patients with gliobastoma",both radiation and tumor treating fields therapy,
NCT06118996,Breast 3DUS ABUS System Comparison,NA,Breast Diseases,,,
NCT00046696,A Study of NM-3 Administered Orally in Patients With Advanced Solid Tumors.,PHASE1,Neoplasms,,,
NCT06677827,Effect of Adding Magnesium Sulphate As Adjuvant to Bupivacaine in Ultrasound Guided External Oblique Intercostal Plane Block in Upper Abdominal Cancer Surgery.to Assess the Total Postoperative Opioid Consumption in the First 24 H and Evaluate Post Operative VAS Score,PHASE4,Upper Abdominal Cancer Surgery,,,
NCT01162642,Green Tea Anticancer Mechanisms in Smokers,NA,Cancer,whether green tea may lower the risk of certain cancers,,
NCT06586242,Efficacy and Safety of Penpulimab Combined With Anlotinib and Chemotherapy,PHASE2,Esophageal Cancer,,,
NCT05173142,HMPL-453 (FGFR Inhibitor) in Combination With Chemotherapy or Anti-PD-1 Antibody in Advanced Solid Tumors,PHASE1,Solid Tumor,"the safety, tolerability, and preliminary efficacy of HMPL-453 combined with chemotherapy or anti-PD-1 antibody in patients with advanced solid tumors",HMPL-453 combined with chemotherapy or anti-PD-1 antibody in patients with advanced solid tumors,
NCT02133742,"A Dose Finding Study To Evaluate Safety, Drug Interaction, Tumor Markers Of Axitinib In Combination With MK-3475 In Adult Patients With Previously Untreated Advanced Renal Cell Cancer",PHASE1,Renal Cell Carcinoma,,,
NCT02066870,Icotinib and Arsenic Trioxide in Treating Non-small-cell Lung Cancer Patients With Resistance to EGFR-TKI,PHASE1,Non-small Cell Lung Cancer,,,
NCT00899873,Biomarkers in Samples From Patients With Chronic Lymphocytic Leukemia Treated on Clinical Trial ECOG-2997,,Leukemia,,,
NCT01029873,QUILT-2.008: Study of ALT-801 With Cisplatin in Patients With Metastatic Melanoma,PHASE1,Metastatic Melanoma,"the safety, determine the Maximum-Tolerated Dose (MTD), and characterize the pharmacokinetic profile of ALT-801 given with cisplatin in patients who are chemotherapy naïve and have metastatic melanoma that is considered surgically incurable",,
NCT06978673,Neurolytic Block Techniques In Abdominal Visceral Cancer Pain,NA,"Cancer, Malignant Tumors",to compare celiac plexus neurolysis and splanchnic nerve neurolysis for the treatment of abdominal visceral pain and its influence on the quality of life of patients with cancer,,
NCT06008873,Association Between Preoperative Insomnia and Postoperative Quality of Recovery : A Prospective Observational Study,,Sleep Disorder,"of the study is to investigate the association between preoperative insomnia and postoperative QoR, the association between preoperative insomnia and postoperative ARI,and to describe preoperative sleep traits",the insomnia severity during hospitalization while awaiting surgery,the overall recovery after surgery
NCT05947669,Efficacy and Safety of Infliximab for Immune Checkpoint Inhibitor Induced Colitis,PHASE3,Colitis,whether the early introduction of biological treatment with a TNF-alpha inhibitor (infliximab) in addition to corticosteroids for severe ir-colitis/diarrhoea will reduce the time to grade ≤ 1 ir-colitis/diarrhoea compared to corticosteroids alone in patients scheduled for ICI treatment for solid tumors and untreated mCTCAE grade 2-4 diarrhoea or colitis,,
NCT01492569,Acupuncture Point Stimulation for Treatment of Chemotherapy Nausea and Vomiting,NA,Childhood Acute Lymphoblastic Leukemia,,,
NCT00217373,"Vaccine Therapy, GM-CSF, and Interferon Alfa-2b in Treating Patients With Locally Advanced or Metastatic Cancer That Expresses Carcinoembryonic Antigen (CEA)",PHASE1,Adult Solid Neoplasm,,,
NCT06576973,Adbelimumab Combined With Chemotherapy and Apatinib in Patients With Resectable Esophageal Squamous Cell Carcinoma,PHASE2,Esophageal Squamous Cell Carcinoma,to assess the efficacy and safety of using adbelizumab with chemotherapy and apatinib as neoadjuvant therapy for resectable ESCC,the efficacy and safety of using adbelizumab with chemotherapy and apatinib as neoadjuvant therapy for resectable ESCC,
NCT02592473,Prostate Artery Embolization (PAE) for Treatment of Benign Prostatic Hyperplasia,NA,Prostatic Hyperplasia,"the safety, efficacy, and feasibility of performing prostatic artery embolization (PAE) using endovascular techniques and particle embolics in men suffering from lower urinary tract symptoms (LUTS) due to benign prostatic hyperplasia (BPH)",,
NCT04633369,The Role of the Microbiome in the Response to Dietary Fibers Intake During Intermediate Fasting,NA,Dietary Fibers,,,
NCT00672269,Study Investigating MEN1 and SDHD in Familial Carcinoid Tumors,,Carcinoid Neuroendocrine Cancer,,,
NCT02133183,Sapanisertib Before and After Surgery in Treating Patients With Recurrent Glioblastoma,PHASE1,Glioblastoma,,,
NCT02917083,"CD30 CAR T Cells, Relapsed CD30 Expressing Lymphoma (RELY-30)",PHASE1,Hodgkin's Lymphoma,,,
NCT04603183,"ABemaciclib, ET ± paclItaxel in aGgressive HR+/HER2- MBC trIaL",PHASE2,Breast Cancer Metastatic,,,
NCT04550494,Measuring the Effects of Talazoparib in Patients With Advanced Cancer and DNA Repair Variations,PHASE2,Anatomic Stage III Breast Cancer AJCC v8,,,
NCT03990194,Real-life Study of Patients After 3-months of Leuprorelin 5mg Implant in Prostate Cancer,,Prostate Cancer,,,
NCT02866994,Project Connect Online: An Internet-based Intervention for Women With Breast Cancer,NA,Breast Neoplasms,,,
NCT04304794,Iodinated Contrast Media Induced Hyperthyroidism,,Hyperthyroidism/Thyrotoxicosis,the influence of ICM on thyroid status and advantages of prophylactic therapy during ICM exposure in patients with euthyroid goiter and cardiovascular comorbidities,,
NCT03775694,Diffusion MRI-1 Imaging Database,,Epilepsy,,,
NCT05047094,A Safety and Efficacy Study for Combinational Treatment of DaRT and Check Point Inhibitor for Recurrent Unresectable or mHNSCC,NA,Head and Neck Squamous Cell Carcinoma,,,
NCT04503694,Neoadjuvant Regorafenib in Combination with Nivolumab and Short-course Radiotherapy in Stage II-III Rectal Cancer,PHASE2,Rectal Cancer Stage II,,,
NCT04694066,Qigong for Pre-frail and Frail Older Cancer Survivors,NA,Cancer,is to conduct a pilot study for testing out the feasibility and acceptability of a qigong intervention to the elderly cancer survivors,,
NCT02350166,Short-term Effects of LASI Surgery Versus Conventional Laparotomy for Colorectal Liver Metastasis,PHASE3,Colorectal Cancer,of this trial is to observing short-term operative effects after surgeries,,
NCT03027466,Integrating Use of Self-Affirmation Content Into a Mobile App to Promote Quit Attempts With Text-Based Smoking Cessation Intervention Messaging,NA,Number of Quit Attempts,"To explore people s values, smoking attitudes, and smoking behavior",,
NCT03830866,Study of Durvalumab With Chemoradiotherapy for Women With Locally Advanced Cervical Cancer (CALLA),PHASE3,Locally Advanced Cervical Cancer,the efficacy and safety of durvalumab + Chemoradiotherapy versus Chemoradiotherapy alone as treatment in Women With Locally Advanced Cervical Cancer,,
NCT05413356,Ruxolitinib for Newly Diagnosed Bronchiolitis Obliterans Syndrome,PHASE2,Bronchiolitis Obliterans Syndrome,,,
NCT00980122,Aggressiveness of Care at the End of Life in Cancer Patients,,Advanced Cancer,,,
NCT02909751,Tocotrienol in Combination With Neoadjuvant Chemotherapy for Women With Breast Cancer,PHASE2,Breast Cancer,,,
NCT04225429,Tazemetostat Expanded Access Program for Adults With Epithelioid Sarcoma,,Epithelioid Sarcoma,,,
NCT03801837,Effect of Macadamia Nut on Cardiometabolic Risk Factors,NA,Cardiovascular Risk Factor,,,
NCT02335437,Chronic Fatigue Following Acute Epstein-Barr Virus Infection in Adolescents,,"Fatigue Syndrome, Chronic",,,
NCT00641537,CLARITY Extension Study,PHASE3,Relapsing-Remitting Multiple Sclerosis,,,
NCT04623437,Responsible Side Effects Management in Oncology,,Pharmacovigilance,,,
NCT00024037,Laser Therapy in Preventing Oral Mucositis in Patients Undergoing Bone Marrow Transplantation,PHASE2,Oral Complications,the effectiveness of laser therapy in preventing oral mucositis in patients who are undergoing bone marrow transplantation,,
NCT01994837,A Phase 2 Study of ABT-199 in Subjects With Acute Myelogenous Leukemia (AML),PHASE2,Acute Myelogenous Leukemia,,,
NCT00004937,Acridine Carboxamide in Treating Patients With Recurrent Glioblastoma Multiforme,PHASE2,Brain and Central Nervous System Tumors,,,
NCT01538537,Safety of ON 01910.Na as a 3-day Infusion in Patients With Advanced Cancer,PHASE1,Advanced Cancer,of this study is to determine the largest dose of ON 01910,the largest dose of ON 01910,
NCT06299462,PTCy and ATG for MSD and MUD Transplants,PHASE1,Acute Myeloid Leukemia,,,
NCT00446888,Effects of Nutritional Supplementation (Product 4808) on Acute Skeletal Muscle Protein Synthesis in Cancer Patients,NA,Cancer,the factors that control the rate at which muscle tissue can be produced in subjects with cancer,,
NCT01278888,"Minimally Invasive or Open Surgery for Lung Cancer: Pain, Quality of Life and Economics.",NA,Nonsmall Cell Lung Cancer Cellular Diagnosis,,,
NCT05368688,Microbiome in Colorectal Cancer Onset and Progression,,Colorectal Cancer,,,
NCT06270888,Hypofractionation (Radiation) Trial for Multiple Myeloma,PHASE1,Multiple Myeloma,,,
NCT06495827,Predicting Response to Chemotherapy in Colorectal Cancer Via Multi-dimensional Analyses of the Tumor Associated Neutrophils,,Tumor Associated Neutrophils,ed to investigate the prognostic significance of TIICs and its biological predictive value in CRC,,
NCT06870461,Hepatic Excision and Ablation Log,,Malignant Liver Tumor,"to establish a registry for liver surgery and ablation procedures to improve patient care, advance research, and enhance surgical quality",,
NCT03935061,Effects of Mulberry Juice on Inflammatory Status and Clinical Symptoms in Patients With General Anxiety Disorder,NA,General Anxiety Disorders,"the auxiliary effect of mulberry juice in general anxiety disorder, including differences in psychiatric symptoms and levels of IL-related markers between the experimental and control groups, and contribution of IL-related genes in the auxiliary effect",,
NCT06733961,SCUBE-1 and VAP-1 Levels on Diagnosis Pulmonary Embolism,,Pulmonary Embolism Acute,of this study is to investigate the relationship between the diagnosis and prognosis of alternative biomarkers such as SCUBE-1 and VAP-1 in the diagnosis of clinically suspected acute PTE,,
NCT03506386,Multiple Myeloma (MM) Profile in Brazil: A Retrospective Observational Analysis,,Multiple Myeloma,,,
NCT00271986,Peritoneal Microdialysis in Patients Undergoing Low Anterior Resection (LAR) for Recto-sigmoid Cancer,,Cancer of Rectum,of the present study is to investigate the clinical use of peritoneal microdialysis and whether is able to detect anastomotic leakage prior to clinical symptoms develops,,
NCT00267670,Pentoxifylline/Nonalcoholic Steatohepatitis (NASH) Study: The Effect of Pentoxifylline on NASH,PHASE2,Nonalcoholic Steatohepatitis,,,
NCT05916170,A Study of Hookah Café Customers in the Atlanta Area,NA,Waterpipe Tobacco Smoking,the effectiveness of health warnings on waterpipe smoking behavior in a real-world setting,,
NCT00154986,IGFBP-3 in Ovarian Cancer Invasion,NA,Ovarian Carcinoma,,,
NCT04406870,Sirolimus in the Treatment for Infantile Hepatic Hemangioendothelioma(IEEH),PHASE4,Hemangioendothelioma of Liver,"sequential treatment of sirolimus to refractory IHHE patients resistant with propranolol, to improve the therapeutic effect, reduce the side effects of traditional treatment methods (hormones, interferon), and reduce the number of operations and interventions and to provide a clinical basis for the application of the new therapeutics model of IHHE of ""propranolol + sequential sirolimus treatment""",,
NCT03003273,"Early Stoppage Versus Continuation of Antimicrobial Therapy in Low Risk Pediatric Cancer Patients With Febrile Neutropenia, Before Recovery of Counts: -DALFEN Study",PHASE3,"Neutropenia, Febrile",,,
NCT06482073,Molecular Analysis of Suspected or High-Risk Lung Cancer to Drive Individualized Care (Interception for Suspected Lung Cancer),,Lung Carcinoma,,,
NCT00629473,Phase 1 Clinical Trial of NPI-0052 in Patients With Advanced Malignancies,PHASE1,Advanced Cancer,,,
NCT02371369,Phase 3 Study of Pexidartinib for Pigmented Villonodular Synovitis (PVNS) or Giant Cell Tumor of the Tendon Sheath (GCT-TS),PHASE3,Pigmented Villonodular Synovitis,to evaluate the effectiveness of an investigational drug called pexidartinib for the treatment of certain tumors for which surgical removal could cause more harm than good,the effectiveness of an investigational drug called pexidartinib for the treatment of certain tumors for which surgical removal could cause more harm than good,
NCT02482441,"A Phase 1a/b Dose Escalation Study of the Safety, Pharmacokinetics, and Pharmacodynamics of OMP-131R10",PHASE1,Advanced Relapsed Tumors,"the safety, tolerability, and PK of OMP-131R10 as a single agent for advanced solid tumors and in subjects with metastatic colorectal cancer",,
NCT04116541,A Study Evaluating the Activity of Anti-cancer Treatments Targeting Tumor Molecular Alterations/Characteristics in Advanced / Metastatic Tumors.,PHASE2,Malignant Solid Tumor,ing to assess the efficacy and safety of different Matched Targeted Therapy (MTT) in independent and parallel cohorts of treatment,the efficacy and safety of different Matched Targeted Therapy (MTT) in independent and parallel cohorts of treatment,
NCT03768141,International Liver Surgery Outcomes Study,,Liver Diseases,which level of complexity should be routinely offered for high tumour burden and anatomically difficult scenarios,,
NCT05476341,A Phase I Clinical Trial of Bevacizumab Injection,PHASE1,Rectal Cancer,"to compare bevacizumab injection with Avastin The similarity of pharmacokinetics, tolerance, safety and immunogenicity",,
NCT05034354,Virtual Remote Physiological Monitoring Program of Children With Heart Disease,NA,Pediatric ALL,,,
NCT04332705,Cryptosporidium Infection and Human Colorectal Cancer,,Colonic Neoplasms,of this study is to determine prevalence and to identify species of Cryptosporidium among a French digestive cancer population,prevalence and to identify species of Cryptosporidium among a French digestive cancer population,
NCT03069105,An Exploratory Study of Caregiver Burden Among Family Caregivers of Patients With Cancer,,Caregivers,,,
NCT01351805,"Vitamin D and Fish Oil for Autoimmune Disease, Inflammation and Knee Pain",NA,Autoimmune Diseases,the effects of the supplements on chronic knee pain,,
NCT06031194,Pharmacogenomics Effects on High-Dose Methotrexate Clearance in Patients With Diffuse Large B-Cell Lymphoma,,Central Nervous System Lymphoma,,,
NCT05654194,Azacitidine Combined With Venetoclax and ATRA in Newly Diagnosed AML,PHASE3,Acute Myeloid Leukemia,the safety and efficiency of azacitidine (AZA) combination with venetoclax and ATRA in Patients With Newly diagnosed acute myeloid leukemia,,
NCT06504394,A Study to Evaluate the Safety and Efficacy of Pembrolizumab (MK-3475) Coformulated With Berahyaluronidase Alfa (MK-3475A) in Participants With Relapsed or Refractory Classical Hodgkin Lymphoma (rrcHL) or Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma (rrPMBCL)(MK-3475A-F65),PHASE2,Classical Hodgkin Lymphoma Recurrent,response rate (ORR) of pembrolizumab (+) berahyaluronidase alfa SC in adult participants with Relapsed or Refractory Classical Hodgkin Lymphoma (rrcHL) or Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma (rrPMBCL),"the pharmacokinetics (PK) profile of pembrolizumab following subcutaneous (SC) injection of pembrolizumab coformulated with hyaluronidase, and to evaluate the objective response rate (ORR) of pembrolizumab (+) berahyaluronidase alfa SC in adult participants with Relapsed or Refractory Classical Hodgkin Lymphoma (rrcHL) or Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma (rrPMBCL)",the objective response rate (ORR) of pembrolizumab (+) berahyaluronidase alfa SC in adult participants with Relapsed or Refractory Classical Hodgkin Lymphoma (rrcHL) or Relapsed or Refractory Primary Mediastinal Large B-cell Lymphoma (rrPMBCL)
NCT00324194,A Phase I Study of MGCD0103 Given Twice Weekly in Patients With Leukemia or Myelodysplastic Syndromes,PHASE1,Leukemia,,,
NCT06457594,Prospective PROM and PREM Analysis Demonstrating Specification Advantage and Language Barriers,,Head and Neck Cancer,The investigators describe the EORTC INFO 25 translation process followed by investigation of subpopulation where action is most needed,,
